rule_name,description,benchmark,gpt_answer,gpt_configuration,tag
5.2.4 Destructuring,"Array literals may be used on the left-hand side of an assignment to perform destructuring (such as when unpacking multiple values from a single array or iterable). A final rest element may be included (with no space between the `...` and the variable name). Elements should be omitted if they are unused.
 const [a, b, c, ...rest] = generateResults();
 let [, b,, d] = someArray;
 
 Destructuring may also be used for function parameters (note that a parameter name is required but ignored). Always specify `[]` as the default value if a destructured array parameter is optional, and provide default values on the left hand side:
 /** @param {!Array<number>=} param1 */
 function optionalDestructuring([a = 4, b = 2] = []) { … };
 
 Disallowed:
 function badDestructuring([a, b] = [4, 2]) { … };
 
 Tip: For (un)packing multiple values into a function’s parameter or return, prefer object destructuring to array destructuring when possible, as it allows naming the individual elements and specifying a different type for each.",,Yes,"{'prefer-destructuring': ['error', {'VariableDeclarator': {'array': True, 'object': True}, 'AssignmentExpression': {'array': True, 'object': True}}, {'enforceForRenamedProperties': False}], 'no-unused-vars': ['error', {'vars': 'all', 'args': 'after-used', 'ignoreRestSiblings': True, 'destructuredArrayIgnorePattern': '^_'}], 'prefer-const': ['error', {'destructuring': 'all', 'ignoreReadBeforeAssign': True}]}",valid config part
5.2.5 Spread operator,"Array literals may include the spread operator ( `...` ) to flatten elements out of one or more other iterables. The spread operator should be used instead of more awkward constructs with `Array.prototype` . There is no space after the `...` .
 Example:
 [...foo] // preferred over Array.prototype.slice.call(foo)
 [...foo, ...bar] // preferred over foo.concat(bar)","{'rest-spread-spacing': ['error', 'never']}",Yes,"{'prefer-spread': 'error', 'prefer-object-spread': 'error', 'rest-spread-spacing': ['error', 'never']}",valid config part
5.3 Object literals,5.3 Object literals,,Yes,"{'object-shorthand': ['error', {'avoidQuotes': False, 'ignoreConstructors': False, 'methodsIgnorePattern': '', 'avoidExplicitReturnArrows': False}]}",valid config part
5.3.1 Use trailing commas,Include a trailing comma whenever there is a line break between the final property and the closing brace.,"{'comma-dangle': ['error', 'always']}",Yes,{'comma-dangle': ['always-multiline']},valid config part
5.3.2 Do not use the Object constructor,"While `Object` does not have the same problems as `Array` , it is still disallowed for consistency. Use an object literal ( `{}` or `{a:0,b:1,c:2}` ) instead.",{'no-object-constructor': 'error'},Yes,{'no-object-constructor': 'error'},valid config part
5.3.3 Do not mix quoted and unquoted keys,"Object literals may represent either structs (with unquoted keys and/or symbols) or dicts (with quoted and/or computed keys). Do not mix these key types in a single object literal.
 Disallowed:
 {
  width: 42, // struct-style unquoted key
  'maxWidth': 43, // dict-style quoted key
 }
 
 This also extends to passing the property name to functions, like `hasOwnProperty` . In particular, doing so will break in compiled code because the compiler cannot rename/obfuscate the string literal.
 Disallowed:
 /** @type {{width: number, maxWidth: (number|undefined)}} */
 const o = {width: 42};
 if (o.hasOwnProperty('maxWidth')) {
  ...
 }
 
 This is best implemented as:
 /** @type {{width: number, maxWidth: (number|undefined)}} */
 const o = {width: 42};
 if (o.maxWidth != null) {
  ...
 }","{'quote-props': ['error', 'consistent']}",Yes,"{'quote-props': ['error', 'consistent'], 'dot-notation': ['error', {'allowKeywords': True}], 'prefer-object-has-own': 'error'}",valid config part
5.3.4 Computed property names,"Computed property names (e.g., `{['key'+foo()]:42}` ) are allowed, and are considered dict-style (quoted) keys (i.e., must not be mixed with non-quoted keys) unless the computed property is a symbol (e.g., `[Symbol.iterator]` ). Enum values may also be used for computed keys, but should not be mixed with non-enum keys in the same literal.",,Yes,"{'no-useless-computed-key': ['error', {'enforceForClassMembers': True}], 'quote-props': ['error', 'consistent'], 'dot-notation': ['error', {'allowKeywords': True}], 'sort-keys': ['error', 'asc', {'caseSensitive': True, 'natural': False, 'minKeys': 2}], 'computed-property-spacing': ['error', 'never', {'enforceForClassMembers': True}]}",valid config part
5.3.5 Method shorthand,"Methods can be defined on object literals using the method shorthand ( `{method(){…}}` ) in place of a colon immediately followed by a `function` or arrow function literal.
 Example:
 return {
  stuff: 'candy',
  method() {
  return this.stuff; // Returns 'candy'
  },
 };
 
 Note that `this` in a method shorthand or `function` refers to the object literal itself whereas `this` in an arrow function refers to the scope outside the object literal.
 Example:
 class {
  getObjectLiteral() {
  this.stuff = 'fruit';
  return {
  stuff: 'candy',
  method: () => this.stuff, // Returns 'fruit'
  };
  }
 }",,Yes,"{'object-shorthand': ['error', {'avoidQuotes': False, 'ignoreConstructors': False, 'methodsIgnorePattern': '', 'avoidExplicitReturnArrows': False}]}",valid config part
5.3.6 Shorthand properties,"Shorthand properties are allowed on object literals.
 Example:
 const foo = 1;
 const bar = 2;
 const obj = {
  foo,
  bar,
  method() { return this.foo + this.bar; },
 };
 assertEquals(3, obj.method());",,Yes,{'object-shorthand': ['error']},valid config part
5.3.7 Destructuring,"Object destructuring patterns may be used on the left-hand side of an assignment to perform destructuring and unpack multiple values from a single object.
 Destructured objects may also be used as function parameters, but should be kept as simple as possible: a single level of unquoted shorthand properties. Deeper levels of nesting and computed properties may not be used in parameter destructuring. Specify any default values in the left-hand-side of the destructured parameter ( `{str='somedefault'}={}` , rather than `{str}={str:'somedefault'}` ), and if a destructured object is itself optional, it must default to `{}` . The JSDoc for the destructured parameter may be given any name (the name is unused but is required by the compiler).
 Example:
 /**
  * @param {string} ordinary
  * @param {{num: (number|undefined), str: (string|undefined)}=} param1
  * num: The number of times to do something.
  * str: A string to do stuff to.
  */
 function destructured(ordinary, {num, str = 'some default'} = {})
 
 Disallowed:
 /** @param {{x: {num: (number|undefined), str: (string|undefined)}}} param1 */
 function nestedTooDeeply({x: {num, str}}) {};
 /** @param {{num: (number|undefined), str: (string|undefined)}=} param1 */
 function nonShorthandProperty({num: a, str: b} = {}) {};
 /** @param {{a: number, b: number}} param1 */
 function computedKey({a, b, [a + b]: c}) {};
 /** @param {{a: number, b: string}=} param1 */
 function nontrivialDefault({a, b} = {a: 2, b: 4}) {};
 
 Destructuring may also be used for `goog.require` statements, and in this case must not be wrapped: the entire statement occupies one line, regardless of how long it is (see ?? ).",,Yes,"{'prefer-destructuring': ['error', {'VariableDeclarator': {'array': False, 'object': True}, 'AssignmentExpression': {'array': False, 'object': True}}, {'enforceForRenamedProperties': False}], 'no-empty-pattern': 'error', 'object-shorthand': ['error', 'always'], 'no-param-reassign': ['error', {'props': True}]}",valid config part
5.3.8 Enums,"Enumerations are defined by adding the `@enum` annotation to an object literal. Additional properties may not be added to an enum after it is defined. Enums must be constant, and all enum values must be deeply immutable.
 /**
  * Supported temperature scales.
  * @enum {string}
  */
 const TemperatureScale = {
  CELSIUS: 'celsius',
  FAHRENHEIT: 'fahrenheit',
 };
 
 /**
  * An enum with two options.
  * @enum {number}
  */
 const Option = {
  /** The option used shall have been the first. */
  FIRST_OPTION: 1,
  /** The second among two options. */
  SECOND_OPTION: 2,
 };",,Yes,"{'camelcase': ['always', {'properties': 'always'}], 'quote-props': ['always'], 'no-dupe-keys': 'error', 'no-magic-numbers': ['error', {'ignore': [], 'ignoreArrayIndexes': False, 'ignoreDefaultValues': False, 'ignoreClassFieldInitialValues': False, 'enforceConst': True, 'detectObjects': True}], 'sort-keys': ['error', {'order': 'asc', 'caseSensitive': True, 'natural': False, 'minKeys': 2, 'allowLineSeparatedGroups': False}], 'comma-dangle': ['error', {'arrays': 'never', 'objects': 'never', 'imports': 'never', 'exports': 'never', 'functions': 'never'}], 'key-spacing': ['error', {'beforeColon': False, 'afterColon': True, 'mode': 'strict'}], 'init-declarations': ['error', 'always'], 'one-var': ['error', 'never'], 'object-shorthand': ['error', {'avoidQuotes': False, 'ignoreConstructors': False, 'methodsIgnorePattern': '', 'avoidExplicitReturnArrows': False}], 'prefer-destructuring': ['error', {'array': True, 'object': True}, {'enforceForRenamedProperties': False}], 'no-implicit-coercion': ['error', {'boolean': True, 'number': True, 'string': True, 'disallowTemplateShorthand': False, 'allow': []}], 'no-use-before-define': ['error', {'functions': True, 'classes': True, 'variables': True, 'allowNamedExports': False}], 'dot-notation': ['error', {'allowKeywords': True, 'allowPattern': ''}], 'valid-jsdoc': ['error', {'prefer': {}, 'preferType': {}, 'requireReturn': True, 'requireReturnType': False, 'matchDescription': '', 'requireParamDescription': False, 'requireReturnDescription': False, 'requireParamType': False}], 'no-extend-native': ['error', {'exceptions': []}], 'new-cap': ['error', {'newIsCap': True, 'capIsNew': True, 'newIsCapExceptions': [], 'newIsCapExceptionPattern': '', 'capIsNewExceptions': [], 'capIsNewExceptionPattern': '', 'properties': True}], 'no-useless-computed-key': ['error', {'enforceForClassMembers': False}], 'no-octal': 'error'}",exist config in str
5.4 Classes,5.4 Classes,,Yes,"{'no-class-assign': 'error', 'no-dupe-class-members': 'error', 'no-useless-constructor': 'error', 'class-methods-use-this': ['error', {'exceptMethods': [], 'enforceForClassFields': True}], 'max-classes-per-file': ['error', {'max': 1, 'ignoreExpressions': False}], 'no-this-before-super': 'error', 'no-unused-private-class-members': 'error'}",exist config in str
5.4.1 Constructors,Constructors are optional. Subclass constructors must call `super()` before setting any fields or otherwise accessing `this` . Interfaces should declare non-method properties in the constructor.,"{'constructor-super': 'error', 'no-this-before-super': 'error'}",Yes,"{'no-this-before-super': 'error', 'no-useless-constructor': 'error', 'constructor-super': 'error'}",valid config part
5.4.2 Fields,"Set all of a concrete object’s fields (i.e. all properties other than methods) in the constructor. Annotate fields that are never reassigned with `@const` (these need not be deeply immutable). Annotate non-public fields with the proper visibility annotation ( `@private` , `@protected` , `@package` ), and end all `@private` fields' names with an underscore. Fields are never set on a concrete class' `prototype` .
 Example:
 class Foo {
  constructor() {
  /** @private @const {!Bar} */
  this.bar_ = computeBar();
 
  /** @protected @const {!Baz} */
  this.baz = computeBaz();
  }
 }
 
 Tip: Properties should never be added to or removed from an instance after the constructor is finished, since it significantly hinders VMs’ ability to optimize. If necessary, fields that are initialized later should be explicitly set to `undefined` in the constructor to prevent later shape changes. Adding `@struct` to an object will check that undeclared properties are not added/accessed. Classes have this added by default.",,Yes,"{'prefer-const': ['error'], 'no-const-assign': ['error'], 'no-useless-constructor': ['error'], 'class-methods-use-this': ['error'], 'no-class-assign': ['error'], 'no-prototype-builtins': ['error'], 'no-use-before-define': ['error', {'classes': True}], 'no-implicit-globals': ['error', {'lexicalBindings': True}], 'no-new-native-nonconstructor': ['error'], 'no-multi-assign': ['error'], 'no-self-assign': ['error'], 'dot-notation': ['error'], 'object-shorthand': ['error'], 'no-useless-computed-key': ['error'], 'one-var': ['error', {'var': 'never', 'let': 'never', 'const': 'never'}], 'init-declarations': ['error', 'always'], 'no-invalid-this': ['error'], 'no-var': ['error'], 'no-dupe-class-members': ['error']}",exist config in str
