rule_name,description,benchmark,benchmark_default,gpt_answer,gpt_configuration,valid_config,module_tp,module_fp,module_fn,option_name_tp,option_name_fp,option_name_fn,option_value_tp,option_value_fp,option_value_fn
5.3.1 Use trailing commas,Include a trailing comma whenever there is a line break between the final property and the closing brace.,"comma-dangle: ['error', 'always']","comma-dangle: ['error', {'arrays': 'OurSetDefault', 'objects': 'always', 'imports': 'OurSetDefault', 'exports': 'OurSetDefault', 'functions': 'OurSetDefault'}]",Yes,"comma-dangle: ['error', {'arrays': 'always-multiline', 'objects': 'always-multiline', 'imports': 'always-multiline', 'exports': 'always-multiline', 'functions': 'always-multiline'}]",true,comma-dangle,,,comma-dangle,,,,comma-dangle,comma-dangle
5.3.2 Do not use the Object constructor,"While `Object` does not have the same problems as `Array` , it is still disallowed for consistency. Use an object literal ( `{}` or `{a:0,b:1,c:2}` ) instead.","no-object-constructor: error
no-new-object: error","no-object-constructor: error
no-new-object: error",Yes,no-new-object: error,true,no-new-object,,no-object-constructor,no-new-object,,no-object-constructor,no-new-object,,no-object-constructor
5.3.3 Do not mix quoted and unquoted keys,"Object literals may represent either structs (with unquoted keys and/or symbols) or dicts (with quoted and/or computed keys). Do not mix these key types in a single object literal.
 Disallowed:
 {
  width: 42, // struct-style unquoted key
  'maxWidth': 43, // dict-style quoted key
 }
 
 This also extends to passing the property name to functions, like `hasOwnProperty` . In particular, doing so will break in compiled code because the compiler cannot rename/obfuscate the string literal.
 Disallowed:
 /** @type {{width: number, maxWidth: (number|undefined)}} */
 const o = {width: 42};
 if (o.hasOwnProperty('maxWidth')) {
  ...
 }
 
 This is best implemented as:
 /** @type {{width: number, maxWidth: (number|undefined)}} */
 const o = {width: 42};
 if (o.maxWidth != null) {
  ...
 }","quote-props: ['error', 'consistent']","quote-props: ['error', 'consistent']",Yes,"quote-props: ['error', 'consistent-as-needed']
no-prototype-builtins: error",true,quote-props,no-prototype-builtins,,,"quote-props
no-prototype-builtins",quote-props,,"quote-props
no-prototype-builtins",quote-props
5.3.4 Computed property names,"Computed property names (e.g., `{['key'+foo()]:42}` ) are allowed, and are considered dict-style (quoted) keys (i.e., must not be mixed with non-quoted keys) unless the computed property is a symbol (e.g., `[Symbol.iterator]` ). Enum values may also be used for computed keys, but should not be mixed with non-enum keys in the same literal.",,,Yes,"quote-props: ['error', 'consistent-as-needed']
computed-property-spacing: ['error', 'never']
no-useless-computed-key: error",true,,"quote-props
computed-property-spacing
no-useless-computed-key",,,"quote-props
computed-property-spacing
no-useless-computed-key",,,"quote-props
computed-property-spacing
no-useless-computed-key",
5.3.5 Method shorthand,"Methods can be defined on object literals using the method shorthand ( `{method(){…}}` ) in place of a colon immediately followed by a `function` or arrow function literal.
 Example:
 return {
  stuff: 'candy',
  method() {
  return this.stuff; // Returns 'candy'
  },
 };
 
 Note that `this` in a method shorthand or `function` refers to the object literal itself whereas `this` in an arrow function refers to the scope outside the object literal.
 Example:
 class {
  getObjectLiteral() {
  this.stuff = 'fruit';
  return {
  stuff: 'candy',
  method: () => this.stuff, // Returns 'fruit'
  };
  }
 }",,,Yes,"object-shorthand: ['error', 'always']",true,,object-shorthand,,,object-shorthand,,,object-shorthand,
5.3.6 Shorthand properties,"Shorthand properties are allowed on object literals.
 Example:
 const foo = 1;
 const bar = 2;
 const obj = {
  foo,
  bar,
  method() { return this.foo + this.bar; },
 };
 assertEquals(3, obj.method());",,,Yes,"object-shorthand: ['error', 'always']",true,,object-shorthand,,,object-shorthand,,,object-shorthand,
5.3.7 Destructuring,"Object destructuring patterns may be used on the left-hand side of an assignment to perform destructuring and unpack multiple values from a single object.
 Destructured objects may also be used as function parameters, but should be kept as simple as possible: a single level of unquoted shorthand properties. Deeper levels of nesting and computed properties may not be used in parameter destructuring. Specify any default values in the left-hand-side of the destructured parameter ( `{str='somedefault'}={}` , rather than `{str}={str:'somedefault'}` ), and if a destructured object is itself optional, it must default to `{}` . The JSDoc for the destructured parameter may be given any name (the name is unused but is required by the compiler).
 Example:
 /**
  * @param {string} ordinary
  * @param {{num: (number|undefined), str: (string|undefined)}=} param1
  * num: The number of times to do something.
  * str: A string to do stuff to.
  */
 function destructured(ordinary, {num, str = 'some default'} = {})
 
 Disallowed:
 /** @param {{x: {num: (number|undefined), str: (string|undefined)}}} param1 */
 function nestedTooDeeply({x: {num, str}}) {};
 /** @param {{num: (number|undefined), str: (string|undefined)}=} param1 */
 function nonShorthandProperty({num: a, str: b} = {}) {};
 /** @param {{a: number, b: number}} param1 */
 function computedKey({a, b, [a + b]: c}) {};
 /** @param {{a: number, b: string}=} param1 */
 function nontrivialDefault({a, b} = {a: 2, b: 4}) {};
 
 Destructuring may also be used for `goog.require` statements, and in this case must not be wrapped: the entire statement occupies one line, regardless of how long it is (see ?? ).",,,Yes,"prefer-destructuring: ['error', {'VariableDeclarator': {'array': False, 'object': True}, 'AssignmentExpression': {'array': False, 'object': True}}, {'enforceForRenamedProperties': False}]
object-shorthand: ['error', 'always', {'avoidQuotes': True, 'ignoreConstructors': False, 'avoidExplicitReturnArrows': True}]
no-restricted-syntax: ['error', {'selector': 'ObjectPattern > Property > ObjectPattern', 'message': 'Nested destructuring is not allowed.'}, {'selector': 'ObjectPattern > Property[computed=true]', 'message': 'Computed properties are not allowed in destructuring.'}]
default-param-last: error",true,,"prefer-destructuring
object-shorthand
no-restricted-syntax
default-param-last",,,"prefer-destructuring
object-shorthand
no-restricted-syntax
default-param-last",,,"prefer-destructuring
object-shorthand
no-restricted-syntax
default-param-last",
5.3.8 Enums,"Enumerations are defined by adding the `@enum` annotation to an object literal. Additional properties may not be added to an enum after it is defined. Enums must be constant, and all enum values must be deeply immutable.
 /**
  * Supported temperature scales.
  * @enum {string}
  */
 const TemperatureScale = {
  CELSIUS: 'celsius',
  FAHRENHEIT: 'fahrenheit',
 };
 
 /**
  * An enum with two options.
  * @enum {number}
  */
 const Option = {
  /** The option used shall have been the first. */
  FIRST_OPTION: 1,
  /** The second among two options. */
  SECOND_OPTION: 2,
 };",,,Yes,"no-const-assign: error
no-var: error
prefer-const: ['error', {'destructuring': 'all', 'ignoreReadBeforeAssign': True}]
no-redeclare: ['error', {'builtinGlobals': True}]
no-use-before-define: ['error', {'functions': False, 'classes': True, 'variables': True}]
no-magic-numbers: ['error', {'ignore': [0, 1], 'ignoreArrayIndexes': True, 'enforceConst': True, 'detectObjects': False}]",true,,"no-const-assign
no-var
prefer-const
no-redeclare
no-use-before-define
no-magic-numbers",,,"no-const-assign
no-var
prefer-const
no-redeclare
no-use-before-define
no-magic-numbers",,,"no-const-assign
no-var
prefer-const
no-redeclare
no-use-before-define
no-magic-numbers",
5.4.1 Constructors,Constructors are optional. Subclass constructors must call `super()` before setting any fields or otherwise accessing `this` . Interfaces should declare non-method properties in the constructor.,"constructor-super: error
no-this-before-super: error","constructor-super: error
no-this-before-super: error",Yes,"constructor-super: error
no-this-before-super: error
no-useless-constructor: error",true,"constructor-super
no-this-before-super",no-useless-constructor,,"constructor-super
no-this-before-super",no-useless-constructor,,"constructor-super
no-this-before-super",no-useless-constructor,
5.4.2 Fields,"Set all of a concrete object’s fields (i.e. all properties other than methods) in the constructor. Annotate fields that are never reassigned with `@const` (these need not be deeply immutable). Annotate non-public fields with the proper visibility annotation ( `@private` , `@protected` , `@package` ), and end all `@private` fields' names with an underscore. Fields are never set on a concrete class' `prototype` .
 Example:
 class Foo {
  constructor() {
  /** @private @const {!Bar} */
  this.bar_ = computeBar();
 
  /** @protected @const {!Baz} */
  this.baz = computeBaz();
  }
 }
 
 Tip: Properties should never be added to or removed from an instance after the constructor is finished, since it significantly hinders VMs’ ability to optimize. If necessary, fields that are initialized later should be explicitly set to `undefined` in the constructor to prevent later shape changes. Adding `@struct` to an object will check that undeclared properties are not added/accessed. Classes have this added by default.",,,Yes,"no-underscore-dangle: ['error', {'allowAfterThis': True, 'allowAfterSuper': True, 'enforceInMethodNames': True}]
no-prototype-builtins: error
no-param-reassign: ['error', {'props': True}]
no-undef-init: error
no-unused-private-class-members: error
valid-jsdoc: ['error', {'requireReturn': False, 'requireParamDescription': False, 'requireReturnDescription': False, 'prefer': {'returns': 'return'}, 'preferType': {'Boolean': 'boolean', 'Number': 'number', 'Object': 'object', 'String': 'string'}}]",true,,"no-underscore-dangle
no-prototype-builtins
no-param-reassign
no-undef-init
no-unused-private-class-members
valid-jsdoc",,,"no-underscore-dangle
no-prototype-builtins
no-param-reassign
no-undef-init
no-unused-private-class-members
valid-jsdoc",,,"no-underscore-dangle
no-prototype-builtins
no-param-reassign
no-undef-init
no-unused-private-class-members
valid-jsdoc",
5.4.3 Computed properties,"Computed properties may only be used in classes when the property is a symbol. Dict-style properties (that is, quoted or computed non-symbol keys, as defined in ?? ) are not allowed. A `[Symbol.iterator]` method should be defined for any classes that are logically iterable. Beyond this, `Symbol` should be used sparingly.
 Tip: be careful of using any other built-in symbols (e.g., `Symbol.isConcatSpreadable` ) as they are not polyfilled by the compiler and will therefore not work in older browsers.",,,Yes,"no-useless-computed-key: error
symbol-description: error
no-useless-constructor: error
no-duplicate-class-members: error
no-new-symbol: error
no-useless-rename: error
no-useless-return: error",true,,"no-useless-computed-key
symbol-description
no-useless-constructor
no-duplicate-class-members
no-new-symbol
no-useless-rename
no-useless-return",,,"no-useless-computed-key
symbol-description
no-useless-constructor
no-duplicate-class-members
no-new-symbol
no-useless-rename
no-useless-return",,,"no-useless-computed-key
symbol-description
no-useless-constructor
no-duplicate-class-members
no-new-symbol
no-useless-rename
no-useless-return",
5.4.4 Static methods,"Where it does not interfere with readability, prefer module-local functions over private static methods.
 Static methods should only be called on the base class itself. Static methods should not be called on variables containing a dynamic instance that may be either the constructor or a subclass constructor (and must be defined with `@nocollapse` if this is done), and must not be called directly on a subclass that doesn’t define the method itself.
 Disallowed:
 class Base { /** @nocollapse */ static foo() {} }
 class Sub extends Base {}
 function callFoo(cls) { cls.foo(); } // discouraged: don't call static methods dynamically
 Sub.foo(); // Disallowed: don't call static methods on subclasses that don't define it themselves",,,No,"{
    ""Answer"": No,
    ""Configuration"": {}
}",,,,,,,,,,
5.4.5 Old-style class declarations,"While ES6 classes are preferred, there are cases where ES6 classes may not be feasible. For example:
 If there exist or will exist subclasses, including frameworks that create subclasses, that cannot be immediately changed to use ES6 class syntax. If such a class were to use ES6 syntax, all downstream subclasses not using ES6 class syntax would need to be modified. 
 Frameworks that require a known `this` value before calling the superclass constructor, since constructors with ES6 super classes do not have access to the instance `this` value until the call to `super` returns.
 In all other ways the style guide still applies to this code: `let` , `const` , default parameters, rest, and arrow functions should all be used when appropriate.
 `goog.defineClass` allows for a class-like definition similar to ES6 class syntax:
 let C = goog.defineClass(S, {
  /**
  * @param {string} value
  */
  constructor(value) {
  S.call(this, 2);
  /** @const */
  this.prop = value;
  },
 
  /**
  * @param {string} param
  * @return {number}
  */
  method(param) {
  return 0;
  },
 });
 
 Alternatively, while `goog.defineClass` should be preferred for all new code, more traditional syntax is also allowed.
 /**
  * @constructor @extends {S}
  * @param {string} value
  */
 function C(value) {
  S.call(this, 2);
  /** @const */
  this.prop = value;
 }
 goog.inherits(C, S);
 
 /**
  * @param {string} param
  * @return {number}
  */
 C.prototype.method = function(param) {
  return 0;
 };
 
 Per-instance properties should be defined in the constructor after the call to the super class constructor, if there is a super class. Methods should be defined on the prototype of the constructor.
 Defining constructor prototype hierarchies correctly is harder than it first appears! For that reason, it is best to use `goog.inherits` from the Closure Library .",,,Yes,"no-var: error
prefer-const: error
prefer-arrow-callback: error
prefer-rest-params: error
prefer-spread: error
prefer-template: error
arrow-spacing: ['error', {'before': True, 'after': True}]
arrow-parens: ['error', 'as-needed']
no-useless-constructor: error
no-duplicate-class-members: error
constructor-super: error
no-this-before-super: error
no-new-object: error
object-shorthand: ['error', 'always']
prefer-destructuring: ['error', {'array': True, 'object': True}]
prefer-exponentiation-operator: error
prefer-numeric-literals: error
prefer-object-spread: error
prefer-promise-reject-errors: ['error', {'allowEmptyReject': True}]
prefer-regex-literals: error
prefer-object-has-own: error",true,,"no-var
prefer-const
prefer-arrow-callback
prefer-rest-params
prefer-spread
prefer-template
arrow-spacing
arrow-parens
no-useless-constructor
no-duplicate-class-members
constructor-super
no-this-before-super
no-new-object
object-shorthand
prefer-destructuring
prefer-exponentiation-operator
prefer-numeric-literals
prefer-object-spread
prefer-promise-reject-errors
prefer-regex-literals
prefer-object-has-own",,,"no-var
prefer-const
prefer-arrow-callback
prefer-rest-params
prefer-spread
prefer-template
arrow-spacing
arrow-parens
no-useless-constructor
no-duplicate-class-members
constructor-super
no-this-before-super
no-new-object
object-shorthand
prefer-destructuring
prefer-exponentiation-operator
prefer-numeric-literals
prefer-object-spread
prefer-promise-reject-errors
prefer-regex-literals
prefer-object-has-own",,,"no-var
prefer-const
prefer-arrow-callback
prefer-rest-params
prefer-spread
prefer-template
arrow-spacing
arrow-parens
no-useless-constructor
no-duplicate-class-members
constructor-super
no-this-before-super
no-new-object
object-shorthand
prefer-destructuring
prefer-exponentiation-operator
prefer-numeric-literals
prefer-object-spread
prefer-promise-reject-errors
prefer-regex-literals
prefer-object-has-own",
